RequestID,OrganisationEntered,DepartmentID,RequestType,RequestedDateText,CompletedDateText,CostGBP,Channel
CH-02-00001,Unregistered Partner 07,D040,Technical support,15/02/2026,,296.20,Web
CH-02-00002,Fabrikam Services 014,D017,Product return,10/02/2026,13/02/2026,159.40,Email
CH-02-00003,Contoso Retail 021,D094,Technical support,23/02/2026,25/02/2026,468.80,Web
CH-02-00004,Northwind Digital 028,D050,Technical support,24/02/2026,01/03/2026,667.20,Phone
CH-02-00005,Adventure Works Research 035,D040,Technical support,08/02/2026,12/02/2026,763.20,Email
CH-02-00006,Fabrikam Logistics 042,D040,Product return,13/02/2026,23/02/2026,128.00,Email
CH-02-00007,Contoso Analytics 049,D057,Delivery enquiry,01/02/2026,12/02/2026,442.80,Phone
CH-02-00008,Northwind Services 056,D023,Technical support,17/02/2026,01/03/2026,48.30,Phone
CH-02-00009,Adventure Works Retail 063,D021,Technical support,13/02/2026,14/02/2026,743.40,Email
CH-02-00010,Fabrikam Digital 070,D090,Account access,12/02/2026,15/02/2026,312.50,Phone
CH-02-00011,Contoso Research 077,D042,Warranty claim,23/02/2026,27/02/2026,473.70,Email
CH-02-00012,Northwind Logistics 084,D070,Technical support,20/02/2026,26/02/2026,32.20,Phone
CH-02-00013,Adventure Works Analytics 091,D097,Technical support,06/02/2026,11/02/2026,417.00,Phone
CH-02-00014,Fabrikam Services 098,D013,Technical support,04/02/2026,12/02/2026,785.20,Phone
CH-02-00015,Contoso Retail 105,D011,Account access,17/02/2026,20/02/2026,822.80,Phone
CH-02-00016,Northwind Digitl 112,D105,Product return,13/02/2026,17/02/2026,417.70,Email
CH-02-00017,Adventure Works Research 119,D001,Warranty claim,06/02/2026,08/02/2026,849.30,Email
CH-02-00018,Fabrikam Logistics 126,D066,Technical support,03/02/2026,15/02/2026,235.90,Web
CH-02-00019,Contoso Analytics 133,D072,Warranty claim,19/02/2026,27/02/2026,624.00,Web
CH-02-00020,Northwind Services 140,D036,Technical support,20/02/2026,,309.70,Web
CH-02-00021,Adventure Works Retial 147,D098,Account access,26/02/2026,09/03/2026,52.20,Email
CH-02-00022,Fabrikam Digital 154,D092,Product return,14/02/2026,19/02/2026,775.70,Web
CH-02-00023,Contoso Research 161,D081,Delivery enquiry,06/02/2026,12/02/2026,364.60,Web
CH-02-00024,Northwind Logistics 168,D031,Account access,06/02/2026,12/02/2026,326.90,Web
CH-02-00025,Adventure Works Analytics 175,D070,Delivery enquiry,11/02/2026,20/02/2026,57.40,Web
CH-02-00026,Fabrikam Srvcs 182,D057,Delivery enquiry,24/02/2026,07/03/2026,685.20,Web
CH-02-00027,Contoso Retail 189,D015,Warranty claim,26/02/2026,27/02/2026,184.10,Email
CH-02-00028,Northwind Digital 196,D050,Technical support,17/02/2026,18/02/2026,107.40,Phone
CH-02-00029,Adventure Works Research 203,D056,Product return,24/02/2026,07/03/2026,307.30,Web
CH-02-00030,Fabrikam Logistics 210,D079,Account access,19/02/2026,23/02/2026,34.30,Phone
CH-02-00031,Contoso Analytcs 217,D054,Warranty claim,24/02/2026,01/03/2026,65.30,Phone
CH-02-00032,Unregistered Partner 04,D006,Account access,19/02/2026,03/03/2026,731.10,Phone
CH-02-00033,Adventure Works Research 011,D080,Delivery enquiry,22/02/2026,02/03/2026,40.70,Phone
CH-02-00034,Fabrikam Logistics 018,D111,Warranty claim,06/02/2026,16/02/2026,82.10,Phone
CH-02-00035,Contoso Analytics 025,D043,Account access,26/02/2026,07/03/2026,237.10,Web
CH-02-00036,Northwind Srvcs 032,D048,Account access,20/02/2026,21/02/2026,672.30,Web
CH-02-00037,Adventure Works Retail 039,D098,Delivery enquiry,01/02/2026,06/02/2026,562.00,Phone
CH-02-00038,Fabrikam Digital 046,D024,Delivery enquiry,13/02/2026,24/02/2026,255.20,Phone
CH-02-00039,Contoso Research 053,D069,Account access,09/02/2026,,744.60,Phone
CH-02-00040,Northwind Logistics 060,D046,Technical support,01/02/2026,03/02/2026,719.20,Phone
CH-02-00041,Adventure Works Analytcs 067,D112,Account access,08/02/2026,11/02/2026,169.50,Email
CH-02-00042,Fabrikam Services 074,D010,Account access,03/02/2026,04/02/2026,580.80,Web
CH-02-00043,Contoso Retail 081,D088,Technical support,28/02/2026,01/03/2026,841.20,Phone
CH-02-00044,Northwind Digital 088,D101,Delivery enquiry,27/02/2026,09/03/2026,136.20,Web
CH-02-00045,Adventure Works Research 095,D080,Account access,18/02/2026,25/02/2026,478.90,Phone
CH-02-00046,Fabrikam Logistics 102,D059,Technical support,03/02/2026,14/02/2026,779.80,Email
CH-02-00047,Contoso Analytics 109,D051,Delivery enquiry,27/02/2026,11/03/2026,411.00,Web
CH-02-00048,Northwind Services 116,D106,Warranty claim,09/02/2026,21/02/2026,81.40,Email
CH-02-00049,Adventure Works Retail 123,D043,Delivery enquiry,19/02/2026,20/02/2026,278.50,Web
CH-02-00050,Fabrikam Digital 130,D011,Warranty claim,06/02/2026,14/02/2026,511.00,Email
CH-02-00051,Contoso Research 137,D071,Warranty claim,12/02/2026,13/02/2026,786.10,Web
CH-02-00052,Northwind Logistics 144,D034,Product return,08/02/2026,15/02/2026,213.90,Web
CH-02-00053,Adventure Works Analytics 151,D097,Warranty claim,01/02/2026,11/02/2026,363.60,Web
CH-02-00054,Fabrikam Services 158,D031,Warranty claim,10/02/2026,12/02/2026,109.30,Phone
CH-02-00055,Contoso Retail 165,D020,Technical support,01/02/2026,10/02/2026,372.70,Phone
CH-02-00056,Northwind Digitl 172,D109,Warranty claim,12/02/2026,13/02/2026,469.30,Email
CH-02-00057,Adventure Works Research 179,D010,Account access,15/02/2026,24/02/2026,102.90,Phone
CH-02-00058,Fabrikam Logistics 186,D029,Account access,11/02/2026,,76.40,Web
CH-02-00059,Contoso Analytics 193,D007,Warranty claim,25/02/2026,02/03/2026,766.40,Web
CH-02-00060,Northwind Services 200,D021,Delivery enquiry,21/02/2026,22/02/2026,167.40,Email
CH-02-00061,Adventure Works Retial 207,D064,Account access,07/02/2026,19/02/2026,683.60,Phone
CH-02-00062,Fabrikam Digital 214,D012,Technical support,05/02/2026,17/02/2026,418.30,Phone
CH-02-00063,Unregistered Partner 01,D079,Product return,14/02/2026,16/02/2026,577.00,Web
CH-02-00064,Adventure Works UK,D012,Technical support,07/02/2026,10/02/2026,108.40,Email
CH-02-00065,Adventure Works Retail 015,D028,Product return,14/02/2026,20/02/2026,13.20,Phone
CH-02-00066,Fabrikam Digitl 022,D065,Delivery enquiry,15/02/2026,18/02/2026,99.00,Web
CH-02-00067,Contoso Research 029,D065,Delivery enquiry,06/02/2026,18/02/2026,213.20,Phone
CH-02-00068,Northwind Logistics 036,D034,Delivery enquiry,28/02/2026,05/03/2026,483.10,Web
CH-02-00069,Adventure Works Analytics 043,D071,Delivery enquiry,22/02/2026,26/02/2026,390.30,Email
CH-02-00070,Fabrikam Services 050,D097,Delivery enquiry,18/02/2026,26/02/2026,515.40,Email
CH-02-00071,Contoso Retial 057,D052,Account access,24/02/2026,26/02/2026,745.20,Web
CH-02-00072,Northwind Digital 064,D014,Product return,23/02/2026,02/03/2026,181.80,Email
CH-02-00073,Adventure Works Research 071,D033,Product return,28/02/2026,04/03/2026,662.60,Phone
CH-02-00074,Fabrikam Logistics 078,D002,Technical support,22/02/2026,05/03/2026,452.70,Email
CH-02-00075,Contoso Analytics 085,D041,Account access,02/02/2026,10/02/2026,179.50,Email
CH-02-00076,Northwind Srvcs 092,D095,Warranty claim,23/02/2026,05/03/2026,318.80,Email
CH-02-00077,Adventure Works Retail 099,D022,Delivery enquiry,20/02/2026,,28.40,Phone
CH-02-00078,Fabrikam Digital 106,D002,Technical support,27/02/2026,07/03/2026,621.40,Web
CH-02-00079,Contoso Research 113,D081,Account access,09/02/2026,10/02/2026,61.60,Phone
CH-02-00080,Northwind Logistics 120,D068,Technical support,28/02/2026,12/03/2026,207.70,Email
CH-02-00081,Adventure Works Analytcs 127,D089,Delivery enquiry,03/02/2026,15/02/2026,571.50,Web
