OrderLineID,OrderID,OrderDateText,ShippedDateText,CustomerID,ProductID,DepartmentID,Region,SalesChannel,Quantity,UnitPriceGBP,DiscountPct
SL-01-00001,SO-01-00001,2026-01-25,,C01351,P0251,D065,North,Partner,3,164.49,0
SL-01-00002,SO-01-00001,2026-01-04,2026-01-06,C00465,P0343,D040,Central,Store,4,198.99,0
SL-01-00003,SO-01-00002,2026-01-01,2026-01-07,C00256,P0262,D011,Central,Partner,4,288.24,0.10
SL-01-00004,SO-01-00002,2026-01-12,2026-01-16,C00779,P0150,D008,North,Store,3,362.24,0
SL-01-00005,SO-01-00003,2026-01-08,2026-01-11,C00480,P0188,D104,Central,Online,5,122.74,0.10
SL-01-00006,SO-01-00003,2026-01-23,2026-01-31,C00908,P0060,D015,East,Store,4,350.24,0.05
SL-01-00007,SO-01-00004,2026-01-25,2026-01-26,C00672,P0237,D030,Central,Partner,5,340.49,0.15
SL-01-00008,SO-01-00004,2026-01-12,2026-01-19,C00130,P0160,D066,North,Partner,5,141.24,0
SL-01-00009,SO-01-00005,2026-01-18,2026-01-19,C00668,P0257,D041,West,Store,1,231.99,0.15
SL-01-00010,SO-01-00005,2026-01-13,2026-01-15,C00607,P0225,D011,North,Online,2,205.49,0.15
SL-01-00011,SO-01-00006,2026-01-04,2026-01-07,C00872,P0158,D067,East,Partner,3,118.74,0
SL-01-00012,SO-01-00006,2026-01-15,2026-01-23,C00854,P0048,D074,East,Store,1,215.24,0.05
SL-01-00013,SO-01-00007,2026-01-03,2026-01-08,C00672,P0100,D011,West,Partner,2,133.24,0.10
SL-01-00014,SO-01-00007,2026-01-22,2026-01-27,C00194,P0286,D070,East,Online,3,224.74,0.15
SL-01-00015,SO-01-00008,2026-01-21,2026-01-29,C00151,P0265,D026,Central,Online,5,321.99,0.05
SL-01-00016,SO-01-00008,2026-01-30,2026-02-02,C00611,P0041,D074,South,Online,2,136.49,0.10
SL-01-00017,SO-01-00009,2026-01-28,2026-02-05,C00390,P0273,D019,North,Store,4,78.49,0.05
SL-01-00018,SO-01-00009,2026-01-06,2026-01-14,C00143,P0148,D017,North,Online,1,339.74,0.10
SL-01-00019,SO-01-00010,2026-01-24,2026-01-28,C01067,P0308,D015,North,Online,1,138.74,0.05
SL-01-00020,SO-01-00010,2026-01-10,2026-01-18,C00706,P0251,D101,East,Store,5,164.49,0.05
SL-01-00021,SO-01-00011,2026-01-27,2026-02-01,C00452,P0071,D045,West,Store,2,140.49,0.15
SL-01-00022,SO-01-00011,2026-01-17,2026-01-22,C00659,P0151,D069,North,Store,5,39.99,0.05
SL-01-00023,SO-01-00012,2026-01-25,,C00093,P0233,D075,North,Store,3,295.49,0.10
SL-01-00024,SO-01-00012,2026-01-04,2026-01-05,C00738,P0197,D033,Central,Store,2,223.99,0.05
SL-01-00025,SO-01-00013,2026-01-14,2026-01-16,C00719,P0086,D038,Central,Store,1,309.24,0
SL-01-00026,SO-01-00013,2026-01-09,2026-01-16,C01034,P0300,D033,South,Partner,2,382.24,0.15
SL-01-00027,SO-01-00014,2026-01-21,2026-01-22,C00436,P0283,D051,West,Partner,2,190.99,0.05
SL-01-00028,SO-01-00014,2026-01-20,2026-01-24,C00342,P0110,D100,North,Partner,3,245.74,0.05
SL-01-00029,SO-01-00015,2026-01-16,2026-01-24,C00805,P0160,D100,Central,Partner,4,141.24,0.15
SL-01-00030,SO-01-00015,2026-01-14,2026-01-21,C00992,P0180,D076,East,Online,4,366.24,0
SL-01-00031,SO-01-00016,2026-01-13,2026-01-16,C00631,P0115,D069,North,Online,5,301.99,0.10
SL-01-00032,SO-01-00016,2026-01-24,2026-01-26,C01362,P0278,D024,Central,Partner,3,134.74,0.10
SL-01-00033,SO-01-00017,2026-01-29,2026-01-30,C00416,P0238,D079,East,Online,2,351.74,0.05
SL-01-00034,SO-01-00017,2026-01-06,2026-01-07,C00404,P0295,D065,East,Store,3,325.99,0.10
SL-01-00035,SO-01-00018,2026-01-30,2026-02-06,C00886,P0280,D012,Central,Store,3,157.24,0
SL-01-00036,SO-01-00018,2026-01-05,2026-01-08,C00583,P0019,D008,South,Store,2,222.49,0
