OrderLineID,OrderID,OrderDateText,ShippedDateText,CustomerID,ProductID,DepartmentID,Region,SalesChannel,Quantity,UnitPriceGBP,DiscountPct
SL-04-00001,SO-04-00001,2026-04-13,,C01351,P0054,D014,East,Partner,4,282.74,0
SL-04-00002,SO-04-00001,2026-04-30,2026-05-03,C00704,P0257,D079,West,Partner,5,231.99,0
SL-04-00003,SO-04-00002,2026-04-21,2026-04-22,C00043,P0011,D052,East,Store,5,132.49,0.05
SL-04-00004,SO-04-00002,2026-04-15,2026-04-21,C00444,P0146,D090,East,Online,4,317.24,0.05
SL-04-00005,SO-04-00003,2026-04-23,2026-05-01,C00535,P0273,D053,Central,Partner,3,78.49,0.15
SL-04-00006,SO-04-00003,2026-04-06,2026-04-09,C00899,P0070,D060,South,Store,2,129.24,0.15
SL-04-00007,SO-04-00004,2026-04-14,2026-04-22,C00130,P0187,D054,Central,Online,5,111.49,0
SL-04-00008,SO-04-00004,2026-04-18,2026-04-23,C00481,P0177,D026,East,Store,1,332.49,0.10
SL-04-00009,SO-04-00005,2026-04-09,2026-04-14,C01051,P0178,D095,North,Store,4,343.74,0
SL-04-00010,SO-04-00005,2026-04-09,2026-04-13,C00981,P0182,D079,Central,Online,2,55.24,0.15
SL-04-00011,SO-04-00006,2026-04-25,2026-04-29,C00298,P0325,D024,East,Online,5,329.99,0
SL-04-00012,SO-04-00006,2026-04-11,2026-04-13,C00450,P0152,D017,East,Online,4,51.24,0.05
SL-04-00013,SO-04-00007,2026-04-02,2026-04-05,C00478,P0246,D102,West,Partner,4,108.24,0.10
SL-04-00014,SO-04-00007,2026-04-19,2026-04-20,C00101,P0185,D042,West,Partner,3,88.99,0.15
SL-04-00015,SO-04-00008,2026-04-21,2026-04-29,C00522,P0183,D029,East,Partner,4,66.49,0
SL-04-00016,SO-04-00008,2026-04-27,2026-05-04,C01060,P0246,D104,North,Online,5,108.24,0
SL-04-00017,SO-04-00009,2026-04-24,2026-05-02,C00913,P0200,D108,West,Online,2,257.74,0.05
SL-04-00018,SO-04-00009,2026-04-14,2026-04-15,C00145,P0237,D061,East,Online,5,340.49,0.15
SL-04-00019,SO-04-00010,2026-04-06,2026-04-10,C00828,P0352,D056,Central,Partner,1,300.24,0.15
SL-04-00020,SO-04-00010,2026-04-29,2026-05-04,C00744,P0351,D034,East,Online,3,288.99,0.05
SL-04-00021,SO-04-00011,2026-04-05,2026-04-09,C00404,P0259,D048,West,Partner,5,254.49,0.15
SL-04-00022,SO-04-00011,2026-04-28,2026-05-02,C00472,P0160,D099,South,Online,2,141.24,0.15
SL-04-00023,SO-04-00012,2026-04-29,,C00622,P0250,D074,East,Partner,5,153.24,0
SL-04-00024,SO-04-00012,2026-04-17,2026-04-24,C00019,P0133,D043,South,Store,2,170.99,0.05
SL-04-00025,SO-04-00013,2026-04-22,2026-04-30,C00213,P0069,D028,North,Online,2,117.99,0.15
SL-04-00026,SO-04-00013,2026-04-18,2026-04-19,C00743,P0130,D084,West,Partner,3,137.24,0
SL-04-00027,SO-04-00014,2026-04-20,2026-04-22,C00484,P0200,D007,South,Store,2,257.74,0
SL-04-00028,SO-04-00014,2026-04-09,2026-04-12,C00791,P0059,D055,West,Online,3,338.99,0.15
SL-04-00029,SO-04-00015,2026-04-30,2026-05-01,C00342,P0216,D051,East,Store,1,104.24,0.10
SL-04-00030,SO-04-00015,2026-04-04,2026-04-12,C00672,P0094,D038,West,Store,4,65.74,0.05
SL-04-00031,SO-04-00016,2026-04-15,2026-04-18,C00165,P0097,D063,South,Store,4,99.49,0.15
SL-04-00032,SO-04-00016,2026-04-27,2026-04-28,C01362,P0013,D100,South,Partner,2,154.99,0.05
SL-04-00033,SO-04-00017,2026-04-05,2026-04-07,C00129,P0334,D046,West,Online,4,97.74,0
SL-04-00034,SO-04-00017,2026-04-10,2026-04-12,C00599,P0254,D059,East,Online,4,198.24,0.05
SL-04-00035,SO-04-00018,2026-04-28,2026-05-05,C00239,P0328,D070,North,Partner,1,363.74,0.15
SL-04-00036,SO-04-00018,2026-04-26,2026-05-01,C00644,P0272,D040,South,Partner,2,67.24,0
